ds,y
5/8/2016,6
5/15/2016,5
5/22/2016,5
5/29/2016,5
6/5/2016,6
6/12/2016,6
6/19/2016,17
6/26/2016,18
7/3/2016,12
7/10/2016,10
7/17/2016,16
7/24/2016,6
7/31/2016,6
8/7/2016,7
8/14/2016,12
8/21/2016,10
8/28/2016,11
9/4/2016,7
9/11/2016,8
9/18/2016,13
9/25/2016,13
10/2/2016,17
10/9/2016,31
10/16/2016,30
10/23/2016,34
10/30/2016,32
11/6/2016,28
11/13/2016,28
11/20/2016,33
11/27/2016,26
12/4/2016,25
12/11/2016,33
12/18/2016,28
12/25/2016,24
1/1/2017,24
1/8/2017,24
1/15/2017,26
1/22/2017,25
1/29/2017,23
2/5/2017,24
2/12/2017,26
2/19/2017,27
2/26/2017,36
3/5/2017,25
3/12/2017,20
3/19/2017,23
3/26/2017,25
4/2/2017,25
4/9/2017,43
4/16/2017,82
4/23/2017,92
4/30/2017,100
5/7/2017,62
5/14/2017,7
5/21/2017,6
5/28/2017,7
6/4/2017,6
6/11/2017,12
6/18/2017,24
6/25/2017,27
7/2/2017,21
7/9/2017,16
7/16/2017,12
7/23/2017,11
7/30/2017,11
8/6/2017,7
8/13/2017,10
8/20/2017,13
8/27/2017,11
9/3/2017,12
9/10/2017,12
9/17/2017,21
9/24/2017,19
10/1/2017,30
10/8/2017,28
10/15/2017,33
10/22/2017,23
10/29/2017,21
11/5/2017,32
11/12/2017,23
11/19/2017,29
11/26/2017,29
12/3/2017,24
12/10/2017,27
12/17/2017,29
12/24/2017,30
12/31/2017,27
1/7/2018,22
1/14/2018,27
1/21/2018,23
1/28/2018,21
2/4/2018,28
2/11/2018,31
2/18/2018,40
2/25/2018,47
3/4/2018,27
3/11/2018,21
3/18/2018,19
3/25/2018,22
4/1/2018,17
4/8/2018,17
4/15/2018,11
4/22/2018,10
4/29/2018,11
5/6/2018,9
5/13/2018,9
5/20/2018,13
5/27/2018,9
6/3/2018,9
6/10/2018,11
6/17/2018,17
6/24/2018,20
7/1/2018,20
7/8/2018,15
7/15/2018,14
7/22/2018,11
7/29/2018,11
8/5/2018,11
8/12/2018,8
8/19/2018,9
8/26/2018,7
9/2/2018,11
9/9/2018,13
9/16/2018,23
9/23/2018,20
9/30/2018,26
10/7/2018,29
10/14/2018,27
10/21/2018,21
10/28/2018,24
11/4/2018,24
11/11/2018,26
11/18/2018,39
11/25/2018,23
12/2/2018,22
12/9/2018,21
12/16/2018,23
12/23/2018,22
12/30/2018,21
1/6/2019,20
1/13/2019,21
1/20/2019,19
1/27/2019,22
2/3/2019,27
2/10/2019,23
2/17/2019,30
2/24/2019,38
3/3/2019,21
3/10/2019,20
3/17/2019,17
3/24/2019,18
3/31/2019,21
4/7/2019,17
4/14/2019,11
4/21/2019,12
4/28/2019,13
5/5/2019,14
5/12/2019,12
5/19/2019,13
5/26/2019,10
6/2/2019,13
6/9/2019,13
6/16/2019,29
6/23/2019,30
6/30/2019,38
7/7/2019,19
7/14/2019,18
7/21/2019,18
7/28/2019,21
8/4/2019,18
8/11/2019,13
8/18/2019,12
8/25/2019,12
9/1/2019,12
9/8/2019,14
9/15/2019,22
9/22/2019,25
9/29/2019,37
10/6/2019,27
10/13/2019,23
10/20/2019,27
10/27/2019,28
11/3/2019,35
11/10/2019,27
11/17/2019,27
11/24/2019,34
12/1/2019,25
12/8/2019,27
12/15/2019,22
12/22/2019,26
12/29/2019,24
1/5/2020,31
1/12/2020,28
1/19/2020,22
1/26/2020,21
2/2/2020,31
2/9/2020,32
2/16/2020,47
2/23/2020,67
3/1/2020,36
3/8/2020,29
3/15/2020,8
3/22/2020,8
3/29/2020,7
4/5/2020,6
4/12/2020,6
4/19/2020,6
4/26/2020,6
5/3/2020,6
5/10/2020,8
5/17/2020,5
5/24/2020,7
5/31/2020,7
6/7/2020,6
6/14/2020,7
6/21/2020,7
6/28/2020,8
7/5/2020,6
7/12/2020,10
7/19/2020,11
7/26/2020,24
8/2/2020,32
8/9/2020,22
8/16/2020,11
8/23/2020,9
8/30/2020,10
9/6/2020,9
9/13/2020,9
9/20/2020,8
9/27/2020,15
10/4/2020,26
10/11/2020,17
10/18/2020,11
10/25/2020,10
11/1/2020,10
11/8/2020,7
11/15/2020,9
11/22/2020,8
11/29/2020,8
12/6/2020,7
12/13/2020,8
12/20/2020,9
12/27/2020,11
1/3/2021,14
1/10/2021,28
1/17/2021,27
1/24/2021,25
1/31/2021,37
2/7/2021,25
2/14/2021,32
2/21/2021,29
2/28/2021,37
3/7/2021,31
3/14/2021,36
3/21/2021,32
3/28/2021,29
4/4/2021,38
4/11/2021,45
4/18/2021,40
4/25/2021,33
4/18/2021,40
4/25/2021,33
